element,opponent_team_name,total_points,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
13,Nott'm Forest,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
13,Man City,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
13,Newcastle,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
13,West Ham,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
14,Man Utd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
14,Leeds,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
14,Liverpool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
14,Nott'm Forest,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
14,Man City,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
14,Newcastle,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
14,West Ham,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
15,Man Utd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
15,Leeds,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
15,Liverpool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
15,Nott'm Forest,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
15,Man City,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
15,Newcastle,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
15,West Ham,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
16,Man Utd,3,1,90,0,0,1,0,0,0,0,0,0,0,0,7,0,2,3,5,1,0.15,0.09,0.24,1.52
16,Leeds,6,2,52,1,0,0,0,0,0,0,0,0,0,0,27,0,4,0,4,1,0.11,0.03,0.14,0.17
16,Liverpool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
16,Nott'm Forest,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
16,Man City,1,5,45,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,3,0,0.04,0.21,0.25,0.34
16,Newcastle,2,6,69,0,0,0,1,0,0,0,0,0,0,0,10,0,5,0,5,1,0.08,0.01,0.09,0.53
16,West Ham,8,7,90,1,0,1,0,0,0,0,0,0,0,0,22,1,4,2,7,1,0.84,1.11,1.95,0.49
17,Man Utd,5,1,90,0,0,1,0,0,0,0,0,0,0,0,16,6,7,1,14,1,0.09,0.29,0.38,1.52
17,Leeds,1,2,37,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,2,1,0.05,0.05,0.10,0.17
17,Liverpool,1,3,20,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0.00,0.01,0.01,0.25
17,Nott'm Forest,1,4,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0.00,0.00,0.00,0.00
17,Man City,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
17,Newcastle,4,6,8,0,1,0,0,0,0,0,0,0,0,0,16,0,1,0,1,0,0.00,0.25,0.25,0.08
17,West Ham,1,7,29,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0.00,0.21,0.21,0.34
18,Man Utd,1,1,30,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.00,0.02,0.02,0.82
18,Leeds,3,2,63,0,0,1,0,0,0,0,0,0,0,0,10,0,3,0,3,1,0.00,0.09,0.09,0.17
18,Liverpool,2,3,88,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,2,1,0.14,0.03,0.17,0.40
18,Nott'm Forest,3,4,78,0,0,1,0,0,0,0,0,0,0,0,24,1,3,3,7,1,0.00,0.71,0.71,0.10
18,Man City,1,5,45,0,0,0,1,0,0,0,0,0,0,0,-2,0,2,0,2,1,0.15,0.01,0.16,0.55
18,Newcastle,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
18,West Ham,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
19,Man Utd,1,1,59,0,0,0,0,0,0,0,0,0,0,0,8,0,3,1,4,1,0.02,0.01,0.03,0.70
19,Leeds,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
19,Liverpool,3,3,69,0,0,1,0,0,0,0,0,0,0,0,9,0,2,1,3,1,0.00,0.00,0.00,0.28
19,Nott'm Forest,1,4,12,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0.00,0.00,0.00,0.10
19,Man City,7,5,10,1,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0.16,0.00,0.16,0.25
19,Newcastle,1,6,20,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,3,0,0.05,0.01,0.06,0.08
19,West Ham,1,7,11,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0,0.00,0.06,0.06,0.13
20,Man Utd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
20,Leeds,1,2,37,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.07,0.03,0.10,0.00
20,Liverpool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
20,Nott'm Forest,4,4,11,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.00,0.26,0.26,0.10
20,Man City,2,5,83,0,0,0,1,0,0,0,0,0,0,0,13,2,1,1,4,1,0.14,0.07,0.21,0.89
20,Newcastle,2,6,87,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,2,1,0.33,0.12,0.45,0.58
20,West Ham,3,7,74,0,0,1,0,0,0,0,0,0,0,0,16,1,1,2,4,1,0.12,0.09,0.21,0.36
21,Man Utd,6,1,82,0,1,1,0,0,0,0,0,0,0,0,14,1,3,0,4,1,0.13,0.01,0.14,1.04
21,Leeds,6,2,90,0,1,1,0,0,0,0,0,0,0,0,26,0,3,0,3,1,0.00,0.54,0.54,0.17
21,Liverpool,4,3,90,0,0,0,1,0,0,0,0,0,0,0,13,6,7,0,13,1,0.02,0.10,0.12,0.52
21,Nott'm Forest,1,4,22,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,0,0.00,0.03,0.03,0.10
21,Man City,3,5,90,0,0,0,1,0,0,0,0,0,0,1,22,1,6,2,9,1,0.00,0.16,0.16,0.89
21,Newcastle,9,6,90,0,1,0,1,0,0,0,0,0,0,2,33,4,5,3,12,1,0.00,0.20,0.20,0.61
21,West Ham,11,7,78,1,0,1,0,0,0,0,0,0,0,3,45,2,3,0,5,1,0.32,0.12,0.44,0.36
22,Man Utd,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0.00,0.00,0.00,0.49
22,Leeds,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
22,Liverpool,3,3,69,0,0,1,0,0,0,0,0,0,0,0,6,0,2,3,5,1,0.00,0.02,0.02,0.28
22,Nott'm Forest,3,4,90,0,0,1,0,0,0,0,0,0,0,0,15,2,8,0,10,1,0.13,0.07,0.20,0.20
22,Man City,1,5,45,0,0,0,1,0,0,0,0,0,0,0,6,2,4,1,7,1,0.00,0.03,0.03,0.55
22,Newcastle,6,6,20,1,0,0,0,0,0,0,0,0,0,0,23,1,1,1,3,0,0.05,0.00,0.05,0.08
22,West Ham,1,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.00,0.16,0.13
23,Man Utd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
23,Leeds,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
23,Liverpool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
23,Nott'm Forest,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
23,Man City,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
23,Newcastle,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
23,West Ham,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
24,Man Utd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
24,Leeds,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
24,Liverpool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
24,Nott'm Forest,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
24,Man City,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
24,Newcastle,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
24,West Ham,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
25,Man Utd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
25,Leeds,1,2,52,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,4,0,0.02,0.01,0.03,0.00
25,Liverpool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
25,Nott'm Forest,3,4,72,0,0,1,0,0,0,0,0,0,0,0,8,1,3,0,4,0,0.15,0.03,0.18,0.20
