element,opponent_team_name,total_points,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
5,Newcastle,13,6,90,1,0,0,1,0,0,0,0,0,0,3,34,16,2,3,19,1,0.22,0.02,0.24,0.61
5,West Ham,9,7,90,0,0,1,0,0,0,0,0,0,0,1,33,10,0,2,12,1,0.00,0.03,0.03,0.49
5,Fulham,12,8,90,0,1,1,0,0,0,0,0,0,0,3,33,9,1,0,9,1,0.24,0.02,0.26,0.44
5,Crystal Palace,9,9,90,0,0,1,0,0,0,0,0,0,0,3,32,9,0,0,9,1,0.10,0.03,0.13,0.47
5,Burnley,12,10,90,0,1,1,0,0,0,0,1,0,0,2,39,10,1,1,11,1,0.00,0.52,0.52,0.42
5,Sunderland,1,11,90,0,0,0,2,0,0,0,0,0,0,0,6,4,0,1,5,1,0.00,0.03,0.03,0.44
5,Spurs,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
5,Chelsea,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
6,Man Utd,9,1,90,0,0,1,0,0,0,0,0,0,0,1,25,10,3,4,14,1,0.00,0.00,0.00,1.52
6,Leeds,6,2,90,0,0,1,0,0,0,0,0,0,0,0,27,5,4,0,5,1,0.00,0.01,0.01,0.17
6,Liverpool,1,3,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,1,0.00,0.00,0.00,0.00
6,Nott'm Forest,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
6,Man City,2,5,90,0,0,0,1,0,0,0,0,0,0,0,15,5,8,4,9,1,0.13,0.02,0.15,0.89
6,Newcastle,1,6,45,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,1,0,0.00,0.07,0.07,0.20
6,West Ham,6,7,90,0,0,1,0,0,0,0,0,0,0,0,30,8,4,0,8,1,0.00,0.02,0.02,0.49
6,Fulham,6,8,90,0,0,1,0,0,0,0,0,0,0,0,26,4,5,0,4,1,0.00,0.05,0.05,0.44
6,Crystal Palace,1,9,45,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,1,1,0.00,0.02,0.02,0.08
6,Burnley,6,10,90,0,0,1,0,0,0,0,0,0,0,0,29,4,5,2,6,1,0.00,0.01,0.01,0.42
6,Sunderland,1,11,90,0,0,0,2,0,0,0,0,0,0,0,4,6,1,0,6,1,0.16,0.03,0.19,0.44
6,Spurs,2,12,90,0,0,0,1,0,0,0,0,0,0,0,12,4,3,1,5,1,0.00,0.01,0.01,0.07
6,Chelsea,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
7,Man Utd,13,1,71,1,0,1,0,0,0,0,1,0,0,2,33,3,5,1,4,1,0.91,0.01,0.92,0.87
7,Leeds,13,2,63,0,2,1,0,0,0,0,0,0,0,1,38,1,1,0,1,1,0.39,0.01,0.40,0.17
7,Liverpool,2,3,90,0,0,0,1,0,0,0,0,0,0,0,9,5,3,2,7,1,0.13,0.01,0.14,0.52
7,Nott'm Forest,5,4,67,0,0,1,0,0,0,0,1,0,0,0,16,1,1,2,3,1,0.00,0.01,0.01,0.10
7,Man City,2,5,90,0,0,0,1,0,0,0,0,0,0,0,7,2,6,3,5,1,0.14,0.05,0.19,0.89
7,Newcastle,1,6,69,0,0,0,1,0,0,0,1,0,0,0,0,3,3,0,3,1,0.10,0.04,0.14,0.53
7,West Ham,6,7,74,0,0,1,0,0,0,0,0,0,0,0,26,3,5,3,6,1,0.17,0.02,0.19,0.36
7,Fulham,6,8,90,0,0,1,0,0,0,0,0,0,0,0,26,4,6,1,5,1,0.04,0.02,0.06,0.44
7,Crystal Palace,6,9,81,0,0,1,0,0,0,0,0,0,0,0,26,1,6,0,1,1,0.07,0.02,0.09,0.46
7,Burnley,6,10,71,0,0,1,0,0,0,0,0,0,0,0,33,6,3,1,7,1,0.06,0.01,0.07,0.02
7,Sunderland,1,11,90,0,0,0,2,0,0,0,0,0,0,0,-1,5,3,0,5,1,0.23,0.05,0.28,0.44
7,Spurs,2,12,90,0,0,0,1,0,0,0,0,0,0,0,9,4,3,3,7,1,0.07,0.03,0.10,0.07
7,Chelsea,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
8,Man Utd,0,1,19,0,0,0,0,0,0,0,1,0,0,0,-3,1,1,2,3,0,0.00,0.00,0.00,0.66
8,Leeds,24,2,63,2,1,1,0,0,0,0,0,0,0,3,68,2,1,4,6,1,0.81,0.05,0.86,0.17
8,Liverpool,2,3,90,0,0,0,1,0,0,0,0,0,0,0,7,5,4,2,7,1,0.09,0.05,0.14,0.52
