round,team_id,opponent_id,fixture_difficulty,was_home
30,2,14,4,False
30,16,10,2,True
30,10,16,3,False
30,12,18,3,True
30,18,12,4,False
30,5,20,2,True
30,20,5,4,False
31,4,14,3,True
31,14,4,3,False
31,6,12,3,True
31,12,6,3,False
31,10,3,1,True
31,3,10,3,False
31,9,7,3,True
31,7,9,3,False
31,11,5,3,True
31,5,11,3,False
31,15,17,2,True
31,17,15,4,False
31,2,19,2,True
31,19,2,4,False
31,18,16,2,True
31,16,18,3,False
32,1,4,3,True
32,4,1,5,False
32,5,9,3,True
32,9,5,4,False
32,3,6,3,True
32,6,3,2,False
32,7,13,4,True
32,13,7,4,False
32,8,15,3,True
32,15,8,3,False
32,12,10,2,True
32,10,12,4,False
32,14,11,2,True
32,11,14,4,False
32,16,2,3,True
32,2,16,3,False
32,17,18,3,True
32,18,17,4,False
32,19,20,2,True
32,20,19,2,False
33,2,17,2,True
33,17,2,4,False
33,5,10,2,True
33,10,5,4,False
33,7,14,3,True
33,14,7,4,False
33,8,19,2,True
33,19,8,3,False
33,9,12,3,True
33,12,9,3,False
33,11,20,2,True
33,20,11,3,False
33,13,1,4,True
33,1,13,5,False
33,15,4,3,True
33,4,15,4,False
33,16,3,1,True
33,3,16,3,False
33,18,6,3,True
33,6,18,3,False
34,1,15,3,True
34,15,1,5,False
34,4,11,2,True
34,11,4,3,False
34,6,7,3,True
34,7,6,3,False
34,3,13,4,True
34,13,3,2,False
34,10,2,3,True
34,2,10,3,False
34,12,8,3,True
34,8,12,4,False
34,14,5,3,True
34,5,14,4,False
34,17,16,2,True
34,16,17,4,False
34,19,9,3,True
34,9,19,2,False
34,20,18,3,True
34,18,20,2,False
35,1,10,2,True
35,10,1,5,False
35,2,18,3,True
35,18,2,4,False
35,4,8,3,True
35,8,4,3,False
35,5,19,2,True
35,19,5,4,False
35,7,16,2,True
35,16,7,4,False
35,9,13,4,True
35,13,9,3,False
35,11,3,1,True
35,3,11,3,False
35,14,12,3,True
35,12,14,4,False
35,15,6,3,True
35,6,15,4,False
35,20,17,2,True
35,17,20,2,False
36,6,20,2,True
36,20,6,3,False
36,3,2,3,True
36,2,3,2,False
36,8,9,3,True
36,9,8,3,False
36,10,4,3,True
36,4,10,3,False
36,12,7,3,True
36,7,12,4,False
36,13,5,3,True
36,5,13,5,False
36,16,15,3,True
36,15,16,3,False
36,18,11,2,True
36,11,18,3,False
36,17,14,3,True
36,14,17,4,False
36,19,1,4,True
36,1,19,2,False
37,1,3,1,True
37,3,1,5,False
37,2,12,3,True
37,12,2,4,False
37,4,13,4,True
37,13,4,3,False
37,5,8,3,True
37,8,5,4,False
37,7,18,3,True
37,18,7,4,False
37,9,17,2,True
37,17,9,3,False
37,11,6,3,True
37,6,11,3,False
37,14,16,2,True
37,16,14,4,False
37,15,19,2,True
37,19,15,4,False
37,20,10,2,True
37,10,20,2,False
38,6,14,3,True
38,14,6,3,False
38,3,20,2,True
38,20,3,2,False
38,8,1,4,True
38,1,8,3,False
38,10,15,3,True
38,15,10,3,False
38,12,5,3,True
38,5,12,4,False
38,13,2,3,True
38,2,13,5,False
38,16,4,3,True
38,4,16,3,False
38,18,9,3,True
38,9,18,3,False
38,17,7,3,True
38,7,17,4,False
38,19,11,2,True
38,11,19,2,False
