id,assists,bonus,bps,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,defensive_contribution,defensive_contribution_per_90,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,form,web_name,goals_conceded,goals_conceded_per_90,goals_scored,minutes,now_cost,own_goals,penalties_missed,penalties_saved,position,recoveries,red_cards,saves,selected_by_percent,starts_per_90,tackles,team,team_name,total_points,transfers_in,transfers_out,yellow_cards
92,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Faivre,0,0.0,0,0,45,0,0,0,Midfielder,0,0,0,0.1,0.0,0,4,Bournemouth,0,4403,19571,0
93,1,0,12,0,0.0,1,4,22.5,0.00,0.0,0.00,0.0,0.00,0.40,2.25,0.0,0.0,H.Traorè,2,11.25,0,16,45,0,0,0,Midfielder,2,0,0,0.3,0.0,1,4,Bournemouth,4,114900,165213,0
94,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Sadi,0,0.0,0,0,45,0,0,0,Midfielder,0,0,0,0.0,0.0,0,4,Bournemouth,0,3895,8187,0
95,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Silcott-Duberry,0,0.0,0,0,44,0,0,0,Midfielder,0,0,0,0.1,0.0,0,4,Bournemouth,0,15405,21473,0
96,0,0,3,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.31,4.65,0.0,0.0,Winterburn,2,30.0,0,6,45,0,0,0,Midfielder,0,0,0,0.0,0.0,0,4,Bournemouth,1,2964,9983,0
97,3,5,278,7,0.33,24,79,3.75,0.92,0.04,8.27,0.39,7.35,27.89,1.32,0.35,1.8,Evanilson,33,1.57,5,1895,69,0,0,0,Forward,48,0,0,2.6,1.04,7,4,Bournemouth,79,1081588,1027687,1
98,0,1,49,0,0.0,5,9,5.36,0.05,0.03,1.10,0.66,1.05,3.24,1.93,0.63,1.0,Enes Ünal,2,1.19,1,151,54,0,0,0,Forward,4,0,0,0.0,0.0,0,4,Bournemouth,18,12974,10365,1
99,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Adu-Adjei,0,0.0,0,0,44,0,0,0,Forward,0,0,0,0.1,0.0,0,4,Bournemouth,0,22144,44227,0
100,0,7,318,5,0.47,26,68,6.4,0.64,0.06,5.03,0.47,4.39,16.49,1.55,0.41,3.0,Kroupi.Jr,17,1.6,8,956,47,0,0,0,Forward,35,0,0,7.3,1.13,7,4,Bournemouth,69,1769495,1004098,3
101,0,6,377,6,0.22,34,0,0.0,0.04,0.0,0.04,0.0,0.00,37.42,1.39,0.0,3.2,Kelleher,37,1.37,0,2430,46,0,0,3,Goalkeeper,204,0,73,11.1,1.0,1,5,Brentford,98,1120939,968323,1
102,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Balcombe,0,0.0,0,0,39,0,0,0,Goalkeeper,0,0,0,0.3,0.0,0,5,Brentford,0,15751,23427,0
103,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Cox,0,0.0,0,0,39,0,0,0,Goalkeeper,0,0,0,0.1,0.0,0,5,Brentford,0,11791,14078,0
104,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Eyestone,0,0.0,0,0,39,0,0,0,Goalkeeper,0,0,0,0.1,0.0,0,5,Brentford,0,12816,9964,0
105,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Valdimarsson,0,0.0,0,0,39,0,0,0,Goalkeeper,0,0,0,0.6,0.0,0,5,Brentford,0,37148,71064,0
106,2,7,317,5,0.22,213,237,10.3,1.13,0.05,2.71,0.12,1.58,31.46,1.37,0.07,0.6,Collins,32,1.39,1,2071,50,1,0,0,Defender,95,0,0,2.9,0.96,24,5,Brentford,93,620075,459297,4
107,1,3,199,6,0.48,26,41,3.26,0.99,0.08,3.01,0.24,2.02,20.32,1.62,0.16,2.2,Lewis-Potter,20,1.59,3,1131,48,0,0,0,Defender,48,0,0,1.7,1.03,15,5,Brentford,77,436579,277232,1
108,2,1,176,4,0.25,124,155,9.64,0.64,0.04,1.33,0.08,0.69,23.23,1.44,0.04,3.2,Ajer,23,1.43,0,1447,44,0,0,0,Defender,43,0,0,0.2,1.06,31,5,Brentford,63,32697,29394,2
